Game,MoveNumber,Move,TimeRemaining,EvalAfter,EvalChange,PlayerColor
4.0,30.0,Rfe8,0:01:49,5.33,0.7300000000000004,Black
4.0,32.0,Rxe6,0:01:48,5.2,-0.1299999999999999,Black
4.0,34.0,Rh6,0:01:47,5.43,0.22999999999999954,Black
4.0,36.0,Qg6,0:01:41,6.27,0.8399999999999999,Black
4.0,38.0,Kh8,0:01:40,6.5,0.23000000000000043,Black
4.0,40.0,Qh5,0:01:32,6.14,-0.3600000000000003,Black
4.0,42.0,Rf8,0:01:26,6.07,-0.0699999999999994,Black
4.0,44.0,Rg6,0:01:18,6.35,0.27999999999999936,Black
4.0,46.0,h6,0:01:08,6.11,-0.23999999999999932,Black
4.0,48.0,Rf5,0:01:03,6.67,0.5599999999999996,Black
4.0,50.0,Kh7,0:01:01,6.31,-0.3600000000000003,Black
4.0,52.0,c6,0:00:19,8.77,2.46,Black
4.0,54.0,c5,0:03:00,0.25,-8.52,Black
4.0,56.0,Nc6,0:03:02,0.2,-0.04999999999999999,Black
4.0,58.0,cxd4,0:03:04,0.28,0.08000000000000002,Black
4.0,60.0,e6,0:03:06,0.5,0.21999999999999997,Black
4.0,62.0,d5,0:03:07,0.31,-0.19,Black
4.0,64.0,f6,0:03:08,0.76,0.45,Black
4.0,66.0,a3,0:02:47,-0.05,-0.81,Black
4.0,68.0,a6,0:02:58,1.11,1.1600000000000001,Black
4.0,70.0,Bd7,0:02:58,1.19,0.07999999999999985,Black
4.0,72.0,g3),0:02:40,0.77,-0.41999999999999993,Black
4.0,74.0,Nxd4,0:02:08,-0.04,-0.81,Black
4.0,76.0,g3,0:02:32,-5.05,-5.01,Black
4.0,78.0,Nxe5,0:02:28,-5.28,-0.23000000000000043,Black
4.0,80.0,Kf7,0:02:28,-5.24,0.040000000000000036,Black
4.0,82.0,g6,0:02:16,-5.45,-0.20999999999999996,Black
4.0,84.0,Ke8,0:02:15,-5.5,-0.04999999999999982,Black
4.0,86.0,Kd8,0:01:00,-5.14,0.3600000000000003,Black
4.0,88.0,Rxc8+,0:00:48,-5.07,0.0699999999999994,Black
4.0,90.0,Qc2+,0:00:46,-5.09,-0.019999999999999574,Black
4.0,92.0,Nb4,0:02:07,-6.54,-1.4500000000000002,Black
4.0,94.0,Qf3,0:02:04,-6.14,0.40000000000000036,Black
4.0,96.0,Qh1+,0:00:13,-5.63,0.5099999999999998,Black
4.0,98.0,Qc8+,0:00:07,-4.6,1.0300000000000002,Black
4.0,100.0,Qxb7+,0:00:07,-4.24,0.35999999999999943,Black
4.0,102.0,Qc8,0:00:04,-5.14,-0.8999999999999995,Black
4.0,104.0,Qg8+,0:00:03,-4.3,0.8399999999999999,Black
4.0,106.0,d4,0:03:00,0.17,4.47,Black
4.0,108.0,Nf3,0:02:59,0.13,-0.04000000000000001,Black
4.0,110.0,Bg5,0:02:59,0.05,-0.08,Black
4.0,112.0,dxc5,0:02:58,-0.08,-0.13,Black
4.0,114.0,e3,0:02:57,-0.05,0.03,Black
4.0,116.0,Bd3,0:02:57,-0.29,-0.24,Black
4.0,118.0,c3,0:02:55,-0.26,0.02999999999999997,Black
4.0,120.0,Qc2,0:02:55,-0.41,-0.14999999999999997,Black
4.0,122.0,Bxf6,0:02:51,0.92,1.33,Black
4.0,124.0,Kh8,0:02:50,1.0,0.07999999999999996,Black
4.0,126.0,Bb7,0:02:46,1.16,0.15999999999999992,Black
4.0,128.0,d5,0:02:45,1.3,0.14000000000000012,Black
4.0,130.0,e5,0:02:38,1.58,0.28,Black
4.0,132.0,cxd4,0:02:19,-0.52,-2.1,Black
4.0,134.0,a5),0:02:43,0.08,0.6,Black
4.0,136.0,g4,0:02:39,0.28,0.2,Black
4.0,138.0,Be7,0:02:37,2.43,2.1500000000000004,Black
4.0,140.0,h6,0:01:48,0.31,-2.12,Black
4.0,142.0,Qf7,0:01:38,0.42,0.10999999999999999,Black
4.0,144.0,Qf4,0:01:22,0.16,-0.26,Black
4.0,146.0,Rg2,0:00:59,0.0,-0.16,Black
4.0,148.0,Nf1,0:01:58,-10.0,-10.0,Black
4.0,150.0,Qh5+,0:00:12,-6.08,3.92,Black
4.0,152.0,Rf7,0:00:10,-4.85,1.2300000000000004,Black
4.0,154.0,Qh6,0:00:07,-4.87,-0.020000000000000462,Black
4.0,156.0,Kf1,0:00:05,-5.46,-0.5899999999999999,Black
4.0,158.0,Qc2+,0:00:04,-5.33,0.1299999999999999,Black
4.0,160.0,Rxf2+,0:00:02,-5.79,-0.45999999999999996,Black
4.0,162.0,Rxf2+,0:00:01,-5.29,0.5,Black
4.0,164.0,Qxd2+,0:00:01,-5.05,0.2400000000000002,Black
4.0,166.0,Qd3+,0:01:14,-5.31,-0.2599999999999998,Black
4.0,168.0,Kxg4,0:01:14,-5.15,0.15999999999999925,Black
,,,,,,
5.0,2.0,d5,0:03:00,0.2,,Black
5.0,4.0,Nf6,0:02:57,0.12,-0.08000000000000002,Black
5.0,6.0,Bf5,0:02:57,0.12,0.0,Black
5.0,8.0,e6,0:02:56,0.13,0.010000000000000009,Black
5.0,10.0,a6,0:02:56,0.32,0.19,Black
5.0,12.0,exf5,0:02:56,0.28,-0.03999999999999998,Black
5.0,14.0,Ne4,0:02:55,0.64,0.36,Black
5.0,16.0,Qb3,0:02:52,0.11,-0.53,Black
5.0,18.0,Nd7,0:02:46,0.73,0.62,Black
5.0,20.0,Nd2,0:02:45,0.74,0.010000000000000009,Black
5.0,22.0,f3,0:02:44,0.37,-0.37,Black
5.0,24.0,dxe4,0:02:32,1.89,1.52,Black
5.0,26.0,Nd7,0:02:27,1.74,-0.1499999999999999,Black
5.0,28.0,Rxe4,0:02:15,1.69,-0.050000000000000044,Black
5.0,30.0,Rf1,0:01:59,1.18,-0.51,Black
5.0,32.0,Qe7,0:01:58,2.08,0.9000000000000001,Black
5.0,34.0,h4,0:01:40,-0.17,-2.25,Black
5.0,36.0,Nxf6,0:01:38,-0.12,0.05000000000000002,Black
5.0,38.0,Rae8,0:01:35,-0.13,-0.010000000000000009,Black
5.0,40.0,Qe7,0:01:31,-0.25,-0.12,Black
5.0,42.0,Qd7,0:01:22,0.0,0.25,Black
5.0,44.0,Qe6,0:01:16,0.0,0.0,Black
5.0,46.0,Qf2,0:00:47,-0.77,-0.77,Black
5.0,48.0,Kh7,0:01:07,8.23,9.0,Black
5.0,50.0,Kg8,0:01:03,8.77,0.5399999999999991,Black
5.0,52.0,Kg7,0:00:22,-inf,-inf,Black
5.0,54.0,Kxg2,0:00:21,-inf,,Black
,,,,,,
6.0,2.0,c6,0:03:00,0.32,,Black
6.0,4.0,d5,0:03:00,0.33,0.010000000000000009,Black
6.0,6.0,Bf5,0:02:57,0.37,0.03999999999999998,Black
6.0,8.0,e6,0:02:57,0.2,-0.16999999999999998,Black
6.0,10.0,Ne7,0:02:55,0.35,0.14999999999999997,Black
6.0,12.0,Nxf5,0:02:55,0.17,-0.17999999999999997,Black
6.0,14.0,Nd7,0:02:53,0.02,-0.15000000000000002,Black
6.0,16.0,Qb6,0:02:51,0.18,0.16,Black
6.0,18.0,a5,0:02:49,0.34,0.16000000000000003,Black
6.0,20.0,h6,0:02:46,0.48,0.13999999999999996,Black
6.0,22.0,dxe4,0:02:44,0.98,0.5,Black
6.0,24.0,g5,0:02:41,1.35,0.3700000000000001,Black
6.0,26.0,Bg7,0:02:35,2.08,0.73,Black
6.0,28.0,Nf6+,0:02:30,0.58,-1.5,Black
6.0,30.0,Bg5,0:02:19,0.6,0.020000000000000018,Black
6.0,32.0,h4,0:02:15,0.64,0.040000000000000036,Black
6.0,34.0,Nxd6),0:02:10,4.18,3.5399999999999996,Black
6.0,36.0,Qxf5,0:02:08,3.7,-0.47999999999999954,Black
6.0,38.0,hxg3,0:02:05,4.43,0.7299999999999995,Black
6.0,40.0,Bc7,0:01:51,4.23,-0.1999999999999993,Black
6.0,42.0,Qxb2,0:01:48,4.26,0.02999999999999936,Black
6.0,44.0,Rb1,0:01:28,1.13,-3.13,Black
6.0,46.0,b5,0:01:11,-inf,-inf,Black
6.0,48.0,Qxc6+,0:01:08,-inf,,Black
6.0,50.0,e4,0:03:00,0.18,inf,Black
6.0,52.0,d3,0:03:00,-0.07,-0.25,Black
6.0,54.0,Nc3,0:03:00,-0.08,-0.009999999999999995,Black
6.0,56.0,Be3,0:02:59,-0.2,-0.12000000000000001,Black
6.0,58.0,Nf3,0:02:59,0.0,0.2,Black
6.0,60.0,Be2,0:02:58,-0.02,-0.02,Black
6.0,62.0,O-O,0:02:58,-0.19,-0.17,Black
